questions,,
NO.,Question,Answer
48,"Andy eventually escapes to which country in the movie ""The Shawshank Redemption""?",Mexico
49,"Which two actors, who play Sherlock Holmes on TV, starred on the London stage together in 2013 in a production of Frankenstein?",Benedict Cumberbatch and Johnny Lee Miller
50,"Which ""Pulp Fiction"" costar is now a regular in the Marvel Cinematic Universe?",Samuel L. Jackson
51,"Who played Dracula in the 1931 vampire-horror film ""Dracula""?",Bela Lugosi
52,"Who wrote the book ""the Godfather"" is based on?",Mario Puzo
53,"In the movie Mean Girls, where is Caty originally from?",Africa
54,"Who is the star writer/director of ""Interstellar""?",Christopher Nolan
55,"Screenwriter Luc Besson and actor Jean Reno worked on another assassin movie before ""Leon"". What is its name?",Nikita
56,Who is the name of the AI in Her?,Samantha
57,"The classic movie ""Pulp Fiction"" was released in which year?",1994
58,"While in the spirit world, what is Chihiro's name changed to in ""Spirited Away""?",Sen
59,What was Marilyn Monroe's name at birth?,Norma Jeane Mortenson
60,How old is Mathilda when Leon meets her?,12
61,"Which film written, directed, and produced by James Cameron went on to become the highest grossing film of its time?",Titanic
62,How many Oscars did the film Schindler’s List win?,7
63,Which Disney princess dresses up as a man to save her father?,Mulan
64,Which movie is the first non-English language film to win an Oscar for Best Picture?,Parasite
65,In which year were the Academy Awards first presented?,1929
66,How many times was actor Leonard DiCaprio nominated for an Oscar before finally winning Best Actor in 2016?,6
67,How many times has the movie A Star is Born been remade?,4
68,What year did Noah and Ally meet in the film The Notebook?,1940
69,What kind of flower was enchanted and dying in the movie Beauty and the Beast?,Rose
70,Where was the entire trilogy of Lord of the Rings filmed?,New Zealand
71,What is the symbolism of the crow crowing three times in the Godfather movies?,Death
72,How old was the actress Kate Hudson in the film Almost Famous?,20
73,What is the first song you hear in Disney’s The Lion King?,The Circle of Life
74,In what year was the film Good Will Hunting released?,1997
75,During which war is Saving Private Ryan set?,WWII
76,Who starred as Private Ryan in the movie Saving Private Ryan?,Matt Damon
77,"In the film Titanic, where was Jack Dawson from?","Chippewa Falls, Wisocnsin"
78,What was the treasure hunter team searching for in the ruins of the Titanic in the film Titanic?,The Heart of the Ocean
79,"In The Matrix, on what level do Neo and Trinity stop the elevator after the lobby shootout?",41
80,Who directed the horror film Psycho?,Alfred Hitchcock
81,In which American city does the film Psycho begin?,"Phoenix, Arizona"
82,Where were Harry and Sally driving to when they first met in  When Harry Met Sally?,New York
83,How many children are in the von Trapp family in The Sound of Music?,7
84,What were the last words Rhett ever said to Scarlett in the film Gone With the Wind?,"Frankly my dear, I don’t give a damn."
85,Which actor received an Oscar for his portrayal of the Joker?,Joaquin Phoenix
86,In which movie would you find the quote: “Exercise gives you endorphins. Endorphins make you happy. Happy people just don’t shoot their husbands. They just don’t.”?,Legally Blonde
87,"In Kung Fu Panda, Poe’s adopted father Mr. Ping is a what?",Goose
88,Who directed the film Get Out?,Jordan Peele
89,"From which movie comes the quote, “I felt it. Perfect. I was perfect.”?",Black Swan
90,Which social network is the film The Social Network based off of?,Facebook
91,"How many tribes originally settled in Wakanda, the land from the film Black Panther?",5
92,What is T’Challa’s suit able to store in the film Black Panther?,Kinetic Energy
93,What is T’Challa’s sister’s name?,Shuri
94,"In the film The Hunger Games, what berry are Katniss and Peeta going to eat when they discover they both cannot win?",Nightlock
95,What is the last name of Edward and his family in the Twilight series?,Cullen
96,"In The Lord of the Rings, what is the name of the elf that takes part in the fellowship of the ring?",Legolas
97,When was the original 101 Dalmatians released?,1961
98,What was the name of Miguel’s dog companion in the movie Coco?,Dante
99,What was the name of the musician that Miguel admired?,Ernesto de la Cruz
100,How many brothers does Hans have in the movie Frozen?,12
100,Which actress stars in Disney’s The Princess Diaries?,Anne Hathaway
100,Where does The Princess and the Frog take place?,New Orleans
100,"What is Elle’s GPA(in UCLA) in the movie ""Legally Blonde""?",4.0
100,"Which sorority did Elle join in the movie ""Legally Blonde""?",Delta Nu
100,Where is the movie Her filmed?,Los Angeles and Shanghai
100,电影狗十三的英文名是什么？,Einstein and Einstein
100,2018年有一部电影里主角是一名跨境学童，这部电影是什么？,过春天
100,中国的第一部电影是什么？,定军山
100,新中国的第一部爱情电影是什么？,庐山恋
100,中国的第一部有声电影是什么？,歌女红牡丹
